areaName,areaType,date,cumCasesBySpecimenDate,cumDeaths60DaysByDeathDate
Goa,region,26-03-2020,3,0
Goa,region,27-03-2020,3,0
Goa,region,28-03-2020,3,0
Goa,region,29-03-2020,3,0
Goa,region,30-03-2020,5,0
Goa,region,31-03-2020,5,0
Goa,region,01-04-2020,5,0
Goa,region,02-04-2020,5,0
Goa,region,03-04-2020,6,0
Goa,region,04-04-2020,6,0
Goa,region,05-04-2020,7,0
Goa,region,06-04-2020,7,0
Goa,region,07-04-2020,7,0
Goa,region,08-04-2020,7,0
Goa,region,09-04-2020,7,0
Goa,region,10-04-2020,7,0
Goa,region,11-04-2020,7,0
Goa,region,12-04-2020,7,0
Goa,region,13-04-2020,7,0
Goa,region,14-04-2020,7,0
Goa,region,15-04-2020,7,0
Goa,region,16-04-2020,7,0
Goa,region,17-04-2020,7,0
Goa,region,18-04-2020,7,0
Goa,region,19-04-2020,7,0
Goa,region,20-04-2020,7,0
Goa,region,21-04-2020,7,0
Goa,region,22-04-2020,7,0
Goa,region,23-04-2020,7,0
Goa,region,24-04-2020,7,0
Goa,region,25-04-2020,7,0
Goa,region,26-04-2020,7,0
Goa,region,27-04-2020,7,0
Goa,region,28-04-2020,7,0
Goa,region,29-04-2020,7,0
Goa,region,30-04-2020,7,0
Goa,region,01-05-2020,7,0
Goa,region,02-05-2020,7,0
Goa,region,03-05-2020,7,0
Goa,region,04-05-2020,7,0
Goa,region,05-05-2020,7,0
Goa,region,06-05-2020,7,0
Goa,region,07-05-2020,7,0
Goa,region,08-05-2020,7,0
Goa,region,09-05-2020,7,0
Goa,region,10-05-2020,7,0
Goa,region,11-05-2020,7,0
Goa,region,12-05-2020,7,0
Goa,region,13-05-2020,7,0
Goa,region,14-05-2020,7,0
Goa,region,15-05-2020,14,0
Goa,region,16-05-2020,15,0
Goa,region,17-05-2020,17,0
Goa,region,18-05-2020,29,0
Goa,region,19-05-2020,38,0
Goa,region,20-05-2020,46,0
Goa,region,21-05-2020,50,0
Goa,region,22-05-2020,52,0
Goa,region,23-05-2020,54,0
Goa,region,24-05-2020,55,0
Goa,region,25-05-2020,66,0
Goa,region,26-05-2020,67,0
Goa,region,27-05-2020,67,0
Goa,region,28-05-2020,68,0
Goa,region,29-05-2020,69,0
Goa,region,30-05-2020,69,0
Goa,region,31-05-2020,70,0
Goa,region,01-06-2020,70,0
Goa,region,02-06-2020,71,0
Goa,region,03-06-2020,79,0
Goa,region,04-06-2020,79,0
Goa,region,05-06-2020,166,0
Goa,region,06-06-2020,196,0
Goa,region,07-06-2020,267,0
Goa,region,08-06-2020,300,0
Goa,region,09-06-2020,330,0
Goa,region,10-06-2020,359,0
Goa,region,11-06-2020,387,0
Goa,region,12-06-2020,417,0
Goa,region,13-06-2020,463,0
Goa,region,14-06-2020,523,0
Goa,region,15-06-2020,564,0
Goa,region,16-06-2020,592,0
Goa,region,17-06-2020,629,0
Goa,region,18-06-2020,656,0
Goa,region,19-06-2020,705,0
Goa,region,20-06-2020,725,0
Goa,region,21-06-2020,754,0
Goa,region,22-06-2020,754,0
Goa,region,23-06-2020,864,1
Goa,region,24-06-2020,909,1
Goa,region,25-06-2020,951,2
Goa,region,27-06-2020,1039,2
Goa,region,28-06-2020,1128,2
Goa,region,29-06-2020,1198,3
Goa,region,30-06-2020,1198,3
Goa,region,02-07-2020,1387,4
Goa,region,03-07-2020,1482,4
Goa,region,05-07-2020,1684,6
Goa,region,07-07-2020,1813,7
Goa,region,08-07-2020,1903,8
Goa,region,09-07-2020,2039,8
Goa,region,10-07-2020,2151,9
Goa,region,11-07-2020,2251,9
Goa,region,12-07-2020,2368,12
Goa,region,13-07-2020,2453,14
Goa,region,14-07-2020,2583,17
Goa,region,15-07-2020,2753,18
Goa,region,16-07-2020,2951,18
Goa,region,17-07-2020,2951,18
Goa,region,18-07-2020,3304,21
Goa,region,19-07-2020,3484,21
Goa,region,20-07-2020,3657,22
Goa,region,21-07-2020,3853,23
Goa,region,22-07-2020,4027,26
Goa,region,23-07-2020,4176,28
Goa,region,24-07-2020,4350,29
Goa,region,25-07-2020,4540,29
Goa,region,26-07-2020,4686,33
Goa,region,27-07-2020,4861,35
Goa,region,28-07-2020,5119,36
Goa,region,29-07-2020,5287,36
Goa,region,30-07-2020,5489,39
Goa,region,31-07-2020,5704,42
Goa,region,01-08-2020,5913,45
Goa,region,02-08-2020,6193,48
Goa,region,03-08-2020,6530,53
Goa,region,04-08-2020,6816,56
Goa,region,05-08-2020,7075,60
Goa,region,06-08-2020,7423,64
